Geo Point,Geo Shape,Name,descriptio,lon,lat,linea_esta
"19.3737328486,-99.1790878624","{""type"": ""Point"", ""coordinates"": [-99.17908786238768, 19.373732848611336]}",Insurgentes Sur,Linea 12,-99.1790878623877,19.3737328486113,Linea 12-Insurgentes Sur
"19.3722924936,-99.1711384808","{""type"": ""Point"", ""coordinates"": [-99.17113848076553, 19.372292493614125]}",20 de Noviembre,Linea 12,-99.1711384807655,19.3722924936141,Linea 12-20 de Noviembre
"19.3705415172,-99.1567335428","{""type"": ""Point"", ""coordinates"": [-99.15673354279704, 19.370541517218896]}",Parque de los Venados,Linea 12,-99.1567335427971,19.3705415172189,Linea 12-Parque de los Venados
"19.3600608132,-99.1433444365","{""type"": ""Point"", ""coordinates"": [-99.14334443648953, 19.360060813198896]}",Ermita,Linea 12,-99.1433444364895,19.3600608131989,Linea 12-Ermita
"19.3549571115,-99.1055729834","{""type"": ""Point"", ""coordinates"": [-99.10557298344827, 19.354957111542692]}",Atlalilco,Linea 12,-99.1055729834483,19.3549571115427,Linea 12-Atlalilco
"19.3224512112,-99.0977359177","{""type"": ""Point"", ""coordinates"": [-99.09773591765223, 19.322451211166033]}",San Andrés Tomatlán,Linea 12,-99.0977359176523,19.322451211166,Linea 12-Santa María Tomatlán
"19.2942272512,-99.0211743233","{""type"": ""Point"", ""coordinates"": [-99.02117432332221, 19.294227251183067]}",Tlaltenco,Linea 12,-99.0211743233222,19.2942272511831,Linea 12-Tlaltenco
"19.4164667993,-99.0903730993","{""type"": ""Point"", ""coordinates"": [-99.09037309925732, 19.416466799320265]}",Gómez Farías,Linea 1,-99.0903730992573,19.4164667993203,Linea 1-Gómez Farías
"19.4196465464,-99.0962779864","{""type"": ""Point"", ""coordinates"": [-99.09627798635552, 19.419646546426375]}",Blvd. Puerto Aéreo,Linea 1,-99.0962779863555,19.4196465464264,Linea 1-Boulevard Puerto Aéreo
"19.4289957193,-99.1208802689","{""type"": ""Point"", ""coordinates"": [-99.12088026894646, 19.428995719252587]}",Candelaria,Linea 1,-99.1208802689465,19.4289957192526,Linea 1-Candelaria
"19.4253085136,-99.1245027646","{""type"": ""Point"", ""coordinates"": [-99.12450276462717, 19.425308513572737]}",Merced,Linea 1,-99.1245027646272,19.4253085135727,Linea 1-Merced
"19.425825756,-99.1331228599","{""type"": ""Point"", ""coordinates"": [-99.13312285993551, 19.425825755995767]}",Pino Suárez,Linea 1,-99.1331228599355,19.4258257559958,Linea 1-Pino Suárez
"19.4262195095,-99.1374259366","{""type"": ""Point"", ""coordinates"": [-99.13742593657875, 19.426219509523794]}",Isabel la Católica,Linea 1,-99.1374259365788,19.4262195095238,Linea 1-Isabel la Católica
"19.4257069267,-99.1548408448","{""type"": ""Point"", ""coordinates"": [-99.15484084479851, 19.425706926706827]}",Cuauhtémoc,Linea 1,-99.1548408447985,19.4257069267068,Linea 1-Cuauhtémoc
"19.4207138685,-99.1762303944","{""type"": ""Point"", ""coordinates"": [-99.17623039443853, 19.420713868456655]}",Chapultepec,Linea 1,-99.1762303944385,19.4207138684567,Linea 1-Chapultepec
"19.402979696,-99.1869080463","{""type"": ""Point"", ""coordinates"": [-99.1869080462991, 19.402979695976686]}",Tacubaya,Linea 1,-99.1869080462991,19.4029796959767,Linea 1-Tacubaya
"19.4588091958,-99.2033226553","{""type"": ""Point"", ""coordinates"": [-99.20332265534336, 19.458809195779725]}",Panteones,Linea 2,-99.2033226553434,19.4588091957797,Linea 2-Panteones
"19.4375545344,-99.14753677","{""type"": ""Point"", ""coordinates"": [-99.14753677001636, 19.437554534377156]}",Hidalgo,Linea 2,-99.1475367700164,19.4375545343772,Linea 2-Hidalgo
"19.4363623122,-99.1419101551","{""type"": ""Point"", ""coordinates"": [-99.14191015507672, 19.436362312194873]}",Bellas Artes,Linea 2,-99.1419101550767,19.4363623121949,Linea 2-Bellas Artes
"19.418503499,-99.1341909398","{""type"": ""Point"", ""coordinates"": [-99.13419093978716, 19.418503499046086]}",San Antonio Abad,Linea 2,-99.1341909397872,19.4185034990461,Linea 2-San Antonio Abad
"19.3873581752,-99.1390380402","{""type"": ""Point"", ""coordinates"": [-99.13903804023272, 19.387358175181816]}",Villa de Cortés,Linea 2,-99.1390380402327,19.3873581751818,Linea 2-Villa de Cortés
"19.3793883893,-99.1402475071","{""type"": ""Point"", ""coordinates"": [-99.14024750709827, 19.379388389302335]}",Nativitas,Linea 2,-99.1402475070983,19.3793883893023,Linea 2-Nativitas
"19.3700477936,-99.1415595494","{""type"": ""Point"", ""coordinates"": [-99.14155954942451, 19.370047793644506]}",Portales,Linea 2,-99.1415595494245,19.3700477936445,Linea 2-Portales
"19.4546942207,-99.1429206369","{""type"": ""Point"", ""coordinates"": [-99.14292063690155, 19.454694220694673]}",Tlatelolco,Linea 3,-99.1429206369016,19.4546942206947,Linea 3-Tlatelolco
"19.41948544,-99.1503702785","{""type"": ""Point"", ""coordinates"": [-99.15037027849735, 19.419485439992833]}",Niños Héroes,Linea 3,-99.1503702784974,19.4194854399928,Linea 3-Niños Héroes
"19.4134607562,-99.1538678732","{""type"": ""Point"", ""coordinates"": [-99.15386787319862, 19.413460756245335]}",Hospital General,Linea 3,-99.1538678731986,19.4134607562453,Linea 3-Hospital General
"19.3857282455,-99.1572630799","{""type"": ""Point"", ""coordinates"": [-99.15726307993894, 19.385728245548655]}",Eugenia,Linea 3,-99.157263079939,19.3857282455487,Linea 3-Eugenia
"19.3706923942,-99.1648061769","{""type"": ""Point"", ""coordinates"": [-99.16480617688376, 19.370692394237963]}",Zapata,Linea 3,-99.1648061768838,19.370692394238,Linea 3-Zapata
"19.3466867026,-99.1806795061","{""type"": ""Point"", ""coordinates"": [-99.18067950611375, 19.346686702591665]}",Miguel A. de Quevedo,Linea 3,-99.1806795061138,19.3466867025917,Linea 3-Miguel Ángel de Quevedo
"19.41100058,-99.1217830158","{""type"": ""Point"", ""coordinates"": [-99.12178301584633, 19.411000580001467]}",Jamaica,Linea 4,-99.1217830158464,19.4110005800015,Linea 4-Jamaica
"19.4217096889,-99.1204856829","{""type"": ""Point"", ""coordinates"": [-99.12048568291952, 19.421709688895366]}",Fray Servando,Linea 4,-99.1204856829195,19.4217096888954,Linea 4-Fray Servando
"19.4286844641,-99.119418268","{""type"": ""Point"", ""coordinates"": [-99.11941826802389, 19.428684464082735]}",Candelaria,Linea 4,-99.1194182680239,19.4286844640827,Linea 4-Candelaria
"19.4647370888,-99.1118913012","{""type"": ""Point"", ""coordinates"": [-99.11189130117107, 19.464737088825856]}",Bondojito,Linea 4,-99.1118913011711,19.4647370888259,Linea 4-Bondojito
"19.4849316961,-99.1044078717","{""type"": ""Point"", ""coordinates"": [-99.10440787171032, 19.484931696126445]}",Martín Carrera,Linea 4,-99.1044078717104,19.4849316961264,Linea 4-Martín Carrera
"19.4789310674,-99.1409136157","{""type"": ""Point"", ""coordinates"": [-99.1409136157389, 19.478931067398527]}",Autobuses del Norte,Linea 5,-99.1409136157389,19.4789310673985,Linea 5-Autobuses del Norte
"19.4339604988,-99.0877179708","{""type"": ""Point"", ""coordinates"": [-99.08771797080945, 19.433960498801756]}",Terminal Aérea,Linea 5,-99.0877179708095,19.4339604988018,Linea 5-Terminal Aérea
"19.4238840116,-99.087338618","{""type"": ""Point"", ""coordinates"": [-99.08733861801589, 19.423884011583908]}",Hangares,Linea 5,-99.0873386180159,19.4238840115839,Linea 5-Hangares
"19.4949574875,-99.1965094895","{""type"": ""Point"", ""coordinates"": [-99.19650948954373, 19.494957487477677]}",Tezozomoc,Linea 6,-99.1965094895437,19.4949574874777,Linea 6-Tezozomoc
"19.4886709254,-99.1628403638","{""type"": ""Point"", ""coordinates"": [-99.16284036379692, 19.488670925442012]}",Norte 45,Linea 6,-99.1628403637969,19.488670925442,Linea 6-Norte 45
"19.4902378691,-99.15547593","{""type"": ""Point"", ""coordinates"": [-99.15547593000116, 19.490237869106043]}",Vallejo,Linea 6,-99.1554759300012,19.490237869106,Linea 6-Vallejo
"19.4908001982,-99.1471816159","{""type"": ""Point"", ""coordinates"": [-99.1471816159031, 19.490800198184175]}",Inst. del Petróleo,Linea 6,-99.1471816159031,19.4908001981842,Linea 6-Instituto del Petróleo
"19.483413056,-99.1262077084","{""type"": ""Point"", ""coordinates"": [-99.12620770841819, 19.483413056012974]}",Deptvo. 18 de Marzo,Linea 6,-99.1262077084182,19.483413056013,Linea 6-Deportivo 18 de Marzo
"19.4852297266,-99.104591787","{""type"": ""Point"", ""coordinates"": [-99.10459178701834, 19.485229726637996]}",Martín Carrera,Linea 6,-99.1045917870184,19.485229726638,Linea 6-Martín Carrera
"19.4900140991,-99.1950139978","{""type"": ""Point"", ""coordinates"": [-99.19501399779749, 19.490014099062282]}",Aquiles Serdán,Linea 7,-99.1950139977975,19.4900140990623,Linea 7-Aquiles Serdán
"19.4028150088,-99.1868492126","{""type"": ""Point"", ""coordinates"": [-99.18684921263363, 19.402815008809426]}",Tacubaya,Linea 7,-99.1868492126336,19.4028150088094,Linea 7-Tacubaya
"19.4433003628,-99.1395713382","{""type"": ""Point"", ""coordinates"": [-99.13957133819079, 19.443300362773027]}",Garibaldi,Linea 8,-99.1395713381908,19.443300362773,Linea 8-Garibaldi
"19.42707757,-99.142130403","{""type"": ""Point"", ""coordinates"": [-99.14213040304217, 19.427077569985645]}",Salto del Agua,Linea 8,-99.1421304030422,19.4270775699856,Linea 8-Salto del Agua
"19.4100300537,-99.1340941355","{""type"": ""Point"", ""coordinates"": [-99.13409413554372, 19.410030053717808]}",Chabacano,Linea 8,-99.1340941355437,19.4100300537178,Linea 8-Chabacano
"19.3883953766,-99.112028545","{""type"": ""Point"", ""coordinates"": [-99.1120285449542, 19.388395376565697]}",Iztacalco,Linea 8,-99.1120285449542,19.3883953765657,Linea 8-Iztacalco
"19.3790389974,-99.1095042536","{""type"": ""Point"", ""coordinates"": [-99.10950425356945, 19.37903899735546]}",Apatlaco,Linea 8,-99.1095042535695,19.3790389973555,Linea 8-Apatlaco
"19.356215841,-99.1013091088","{""type"": ""Point"", ""coordinates"": [-99.10130910875276, 19.356215840957148]}",Atlalilco,Linea 8,-99.1013091087528,19.3562158409572,Linea 8-Atlalilco
"19.3507199374,-99.074631895","{""type"": ""Point"", ""coordinates"": [-99.07463189504846, 19.350719937394864]}",U A M  I,Linea 8,-99.0746318950485,19.3507199373949,Linea 8-UAM-I
"19.4071888616,-99.0824348267","{""type"": ""Point"", ""coordinates"": [-99.08243482673815, 19.407188861617634]}",Puebla,Linea 9,-99.0824348267382,19.4071888616176,Linea 9-Puebla
"19.4082233789,-99.0920636112","{""type"": ""Point"", ""coordinates"": [-99.09206361121072, 19.408223378910538]}",Ciudad Deportiva,Linea 9,-99.0920636112107,19.4082233789105,Linea 9-Ciudad Deportiva
"19.4071269335,-99.1447092437","{""type"": ""Point"", ""coordinates"": [-99.14470924370059, 19.407126933531305]}",Lázaro Cárdenas,Linea 9,-99.1447092437006,19.4071269335313,Linea 9-Lázaro Cárdenas
"19.4060444903,-99.1789601136","{""type"": ""Point"", ""coordinates"": [-99.17896011359869, 19.406044490291098]}",Patriotismo,Linea 9,-99.1789601135987,19.4060444902911,Linea 9-Patriotismo
"19.4156140869,-99.0716186153","{""type"": ""Point"", ""coordinates"": [-99.07161861533386, 19.41561408688383]}",Pantitlán,Linea A,-99.0716186153339,19.4156140868838,Linea A-Pantitlán
"19.3732756363,-99.0170179068","{""type"": ""Point"", ""coordinates"": [-99.0170179068111, 19.37327563628187]}",Peñón Viejo,Linea A,-99.0170179068111,19.3732756362819,Linea A-Peñón Viejo
"19.3602808472,-98.9952588064","{""type"": ""Point"", ""coordinates"": [-98.99525880643687, 19.360280847167765]}",Santa Marta,Linea A,-98.9952588064369,19.3602808471678,Linea A-Santa Marta
"19.3504296784,-98.9609176681","{""type"": ""Point"", ""coordinates"": [-98.96091766805496, 19.350429678415612]}",La Paz,Linea A,-98.960917668055,19.3504296784156,Linea A-La Paz
"19.5345708751,-99.0277207069","{""type"": ""Point"", ""coordinates"": [-99.02772070686802, 19.534570875055906]}",Ciudad Azteca,Linea B,-99.0277207068681,19.5345708750559,Linea B-Ciudad Azteca
"19.5215009927,-99.0334660021","{""type"": ""Point"", ""coordinates"": [-99.03346600205562, 19.521500992709516]}",Olímpica,Linea B,-99.0334660020556,19.5215009927095,Linea B-Olímpica
"19.5151347063,-99.0362894249","{""type"": ""Point"", ""coordinates"": [-99.03628942493283, 19.515134706253438]}",Ecatepec,Linea B,-99.0362894249329,19.5151347062534,Linea B-Ecatepec
"19.5016064203,-99.042192835","{""type"": ""Point"", ""coordinates"": [-99.0421928349798, 19.501606420314875]}",Múzquiz,Linea B,-99.0421928349798,19.5016064203149,Linea B-Muzquiz
"19.4729960536,-99.0547586767","{""type"": ""Point"", ""coordinates"": [-99.05475867673363, 19.472996053606998]}",Nezahualcóyotl,Linea B,-99.0547586767336,19.472996053607,Linea B-Nezahualcóyotl
"19.4406159676,-99.0948016259","{""type"": ""Point"", ""coordinates"": [-99.09480162586583, 19.440615967578065]}",Romero Rubio,Linea B,-99.0948016258659,19.4406159675781,Linea B-Romero Rubio
"19.322153,-99.095718","{""type"": ""Point"", ""coordinates"": [-99.095718, 19.322153]}",Lomas Estrella,Linea 12,-99.095718,19.322153,Linea 12-Lomas Estrella
"19.3283441351,-99.1064685127","{""type"": ""Point"", ""coordinates"": [-99.10646851269867, 19.328344135138906]}",San Andrés Tomatlán,Linea 12,-99.1064685126987,19.3283441351389,Linea 12-San Andrés Tomatlán
"19.3204948635,-99.0868183773","{""type"": ""Point"", ""coordinates"": [-99.08681837731154, 19.320494863481937]}",Calle 11,Linea 12,-99.0868183773116,19.3204948634819,Linea 12-Calle 11
"19.2965606194,-99.0349278076","{""type"": ""Point"", ""coordinates"": [-99.0349278076188, 19.296560619370307]}",Zapotitlán,Linea 12,-99.0349278076188,19.2965606193703,Linea 12-Zapotitlán
"19.2839137389,-99.0149778097","{""type"": ""Point"", ""coordinates"": [-99.01497780971393, 19.283913738876514]}",Tláhuac,Linea 12,-99.014977809714,19.2839137388765,Linea 12-Tláhuac
"19.416331829,-99.0747266967","{""type"": ""Point"", ""coordinates"": [-99.07472669666552, 19.416331828963667]}",Pantitlán,Linea 1,-99.0747266966656,19.4163318289637,Linea 1-Pantitlán
"19.4117445802,-99.0821024864","{""type"": ""Point"", ""coordinates"": [-99.08210248638397, 19.411744580211433]}",Zaragoza,Linea 1,-99.082102486384,19.4117445802114,Linea 1-Zaragoza
"19.4230661405,-99.1020494179","{""type"": ""Point"", ""coordinates"": [-99.10204941789333, 19.423066140470528]}",Balbuena,Linea 1,-99.1020494178934,19.4230661404705,Linea 1-Balbuena
"19.4270307325,-99.1490158302","{""type"": ""Point"", ""coordinates"": [-99.1490158302166, 19.427030732526415]}",Balderas,Linea 1,-99.1490158302166,19.4270307325264,Linea 1-Balderas
"19.4125486327,-99.182140654","{""type"": ""Point"", ""coordinates"": [-99.18214065395517, 19.412548632745054]}",Juanacatlán,Linea 1,-99.1821406539552,19.4125486327451,Linea 1-Juanacatlán
"19.4595213593,-99.2158971635","{""type"": ""Point"", ""coordinates"": [-99.21589716352929, 19.459521359294598]}",Cuatro Caminos,Linea 2,-99.2158971635293,19.4595213592946,Linea 2-Cuatro Caminos
"19.4574938004,-99.181850516","{""type"": ""Point"", ""coordinates"": [-99.18185051601544, 19.45749380039762]}",Cuitláhuac,Linea 2,-99.1818505160155,19.4574938003976,Linea 2-Cuitlahuac
"19.4447764243,-99.1676156302","{""type"": ""Point"", ""coordinates"": [-99.16761563020253, 19.444776424318388]}",Normal,Linea 2,-99.1676156302026,19.4447764243184,Linea 2-Normal
"19.4391298136,-99.1541002344","{""type"": ""Point"", ""coordinates"": [-99.15410023439539, 19.439129813606836]}",Revolución,Linea 2,-99.1541002343954,19.4391298136068,Linea 2-Revolución
"19.4355483641,-99.1374723532","{""type"": ""Point"", ""coordinates"": [-99.13747235320757, 19.435548364140956]}",Allende,Linea 2,-99.1374723532076,19.435548364141,Linea 2-Allende
"19.4007714899,-99.1369651274","{""type"": ""Point"", ""coordinates"": [-99.13696512739631, 19.400771489925827]}",Viaducto,Linea 2,-99.1369651273963,19.4007714899258,Linea 2-Viaducto
"19.3949430678,-99.1378721565","{""type"": ""Point"", ""coordinates"": [-99.13787215648209, 19.394943067811987]}",Xola,Linea 2,-99.1378721564821,19.394943067812,Linea 2-Xola
"19.3438177625,-99.1419343123","{""type"": ""Point"", ""coordinates"": [-99.14193431234546, 19.34381776253292]}",Tasqueña,Linea 2,-99.1419343123455,19.3438177625329,Linea 2-Tasqueña
"19.4952232414,-99.1195023109","{""type"": ""Point"", ""coordinates"": [-99.11950231091609, 19.495223241419257]}",Indios Verdes,Linea 3,-99.1195023109161,19.4952232414193,Linea 3-Indios Verdes
"19.4850214378,-99.1255506931","{""type"": ""Point"", ""coordinates"": [-99.1255506930743, 19.485021437818865]}",Deptvo. 18 de Marzo,Linea 3,-99.1255506930743,19.4850214378189,Linea 3-Deportivo 18 de Marzo
"19.4769786967,-99.1321801174","{""type"": ""Point"", ""coordinates"": [-99.13218011742946, 19.476978696668166]}",Potrero,Linea 3,-99.1321801174295,19.4769786966682,Linea 3-Potrero
"19.4370117686,-99.1468788132","{""type"": ""Point"", ""coordinates"": [-99.14687881323076, 19.437011768587308]}",Hidalgo,Linea 3,-99.1468788132308,19.4370117685873,Linea 3-Hidalgo
"19.4270307325,-99.1490158302","{""type"": ""Point"", ""coordinates"": [-99.1490158302166, 19.427030732526415]}",Balderas,Linea 3,-99.1490158302166,19.4270307325264,Linea 3-Balderas
"19.4075629285,-99.1550980831","{""type"": ""Point"", ""coordinates"": [-99.15509808311658, 19.407562928543282]}",Centro Médico,Linea 3,-99.1550980831166,19.4075629285433,Linea 3-Centro Médico
"19.3798049376,-99.1589939539","{""type"": ""Point"", ""coordinates"": [-99.15899395389822, 19.379804937619976]}",División del Norte,Linea 3,-99.1589939538982,19.37980493762,Linea 3-División del Norte
"19.3613975505,-99.1708661037","{""type"": ""Point"", ""coordinates"": [-99.1708661036567, 19.361397550510645]}",Coyoacán,Linea 3,-99.1708661036567,19.3613975505106,Linea 3-Coyoacán
"19.3244054114,-99.1739130713","{""type"": ""Point"", ""coordinates"": [-99.17391307132961, 19.324405411432487]}",Universidad,Linea 3,-99.1739130713296,19.3244054114325,Linea 3-Universidad
"19.4488718754,-99.116125032","{""type"": ""Point"", ""coordinates"": [-99.11612503198019, 19.448871875377122]}",Canal del Norte,Linea 4,-99.1161250319802,19.4488718753771,Linea 4-Canal del Norte
"19.4579411324,-99.1138913596","{""type"": ""Point"", ""coordinates"": [-99.11389135956125, 19.457941132449665]}",Consulado,Linea 4,-99.1138913595613,19.4579411324497,Linea 4-Consulado
"19.4741387596,-99.108025454","{""type"": ""Point"", ""coordinates"": [-99.10802545404185, 19.474138759590446]}",Talismán,Linea 4,-99.1080254540419,19.4741387595904,Linea 4-Talismán
"19.5005612232,-99.1494952429","{""type"": ""Point"", ""coordinates"": [-99.14949524286513, 19.500561223224306]}",Politécnico,Linea 5,-99.1494952428651,19.5005612232243,Linea 5-Politécnico
